;;31.01.2021;;06.02.2021;;13.02.2021;;14.02.2021 - 20.02.2021;;21.02.2021;;22.02.2021 - 26.02.2021;;27.02.2021;;28.02.2021 - 05.03.2021;;06.03.2021;;07.03.2021 - 12.03.2021;;13.02.2021 - 12.03.2021;;Info;13.03.2021;13.03.2021;14.03.2021 - 20.03.2021;14.03.2021 - 20.03.2021;21.03.2021;21.03.2021;22.03.2021 - 27.03.2021;22.03.2021 - 27.03.2021;28.03.2021;28.03.2021;29.03.2021 - 03.04.2021;29.03.2021 - 03.04.2021;04.04.2021;04.04.2021;05.04.2021 - 10.04.2021;05.04.2021 - 10.04.2021;13.03.2021 - 10.04.2021;;Info;11.04.2021;11.04.2021;12.04.2021 - 16.04.2021;12.04.2021 - 16.04.2021;17.04.2021;17.04.2021;18.04.2021 - 24.04.2021;18.04.2021 - 24.04.2021;25.04.2021;25.04.2021;26.04.2021 - 01.05.2021;26.04.2021 - 01.05.2021;02.05.2021;02.05.2021;03.05.2021 - 08.05.2021;03.05.2021 - 08.05.2021;11.04.2021 - 08.05.2021;;Info;09.05.2021;09.05.2021;10.05.2021 - 15.05.2021;10.05.2021 - 15.05.2021;16.05.2021;16.05.2021;17.05.2021 - 22.05.2021;17.05.2021 - 22.05.2021;23.05.2021;23.05.2021;24.05.2021 - 29.05.2021;;30.05.2021;;31.05.2021 - 05.06.2021;;09.05.2021 - 05.06.2021;;Info;06.06.2021;;07.06.2021 - 12.06.2021;;13.06.2021;;14.06.2021 - 19.06.2021;;20.06.2021;;21.06.2021 - 26.06.2021;;27.06.2021;;28.06.2021 - 03.07.2021;;06.06.2021 - 03.07.2021;;Info;04.07.2021;;05.07.2021 - 10.07.2021;;11.07.2021;;12.07.2021 - 17.07.2021;;18.07.2021;;19.07.2021 - 23.07.2021;;24.07.2021;;25.07.2021 - 31.07.2021;;04.07.2021 - 31.07.2021;;Info;01.08.2021;;02.08.2021 - 07.08.2021;;08.08.2021;;09.08.2021 - 13.08.2021;;14.08.2021;;15.08.2021 - 20.08.2021;;21.08.2021;;22.08.2021 - 28.08.2021;;01.08.2021 - 28.08.2021;;Info;29.08.2021;;30.08.2021 - 04.09.2021;;05.09.2021;;06.09.2021 - 11.09.2021;;12.09.2021;;13.09.2021 - 17.09.2021;;18.09.2021;;19.09.2021 - 25.09.2021;;29.08.2021 - 25.09.2021;;Info;26.09.2021;;27.09.2021 - 02.10.2021;;03.10.2021;;04.10.2021 - 09.10.2021;;10.10.2021;;11.10.2021 - 15.10.2021;;16.10.2021;;17.10.2021 - 23.10.2021;;26.09.2021 - 23.10.2021;;Info;24.10.2021;;25.10.2021 - 29.10.2021;;30.10.2021;;31.10.2021 - 04.11.2021;;05.11.2021;;06.11.2021 - 13.11.2021;;14.11.2021;;15.11.2021 - 19.11.2021;;24.10.2021 - 19.11.2021;;Info;20.11.2021;;21.11.2021 - 27.11.2021;;28.11.2021;;29.11.2021 - 03.12.2021;;04.12.2021;;05.12.2021 - 11.12.2021;;12.12.2021;;13.12.2021 - 17.12.2021;;20.11.2021 - 17.12.2021;;Info;18.12.2021;;19.12.2021 - 25.12.2021;;26.12.2021;;27.12.2021 - 02.01.2022;;03.01.2022;;04.01.2022 - 08.01.2022;;09.01.2022;;10.01.2022 - 14.01.2022;;18.12.2021 - 14.01.2022;;Info;15.01.2022;;16.01.2022 - 22.01.2022;;23.01.2022;;24.01.2022 - 28.01.2022;;29.01.2022;;30.01.2022 - 04.02.2022;;05.02.2022;;06.02.2022 - 11.02.2022;;15.01.2022 - 11.02.2022;;Info;12.02.2022;;13.02.2022 - 18.02.2022;;19.02.2022;;20.02.2022 - 25.02.2022;;26.02.2022;;27.02.2022 - 06.03.2022;;07.03.2022;;08.03.2022 - 12.03.2022;;12.02.2022 - 12.03.2022;;Info;13.03.2022;;14.03.2022 - 19.03.2022;;20.03.2022;;21.03.2022 - 26.03.2022;;27.03.2022;;28.03.2022 - 01.04.2022;;02.04.2022;;03.04.2022 - 09.04.2022;;13.03.2022 - 09.04.2022;;Info;10.04.2022;;11.04.2022 - 16.04.2022;;17.04.2022;;18.04.2022 - 23.04.2022;;24.04.2022;;25.04.2022 - 01.05.2022;;02.05.2022;;03.05.2022 - 08.05.2022;;10.04.2022 - 08.05.2022;;Info;09.05.2022;;10.05.2022 - 14.05.2022;;15.05.2022;;16.05.2022 - 21.05.2022;;22.05.2022;;23.05.2022 - 27.05.2022;;28.05.2022;;29.05.2022 - 03.06.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2022;;05.06.2022 - 12.06.2022;;13.06.2022;;14.06.2022 - 17.06.2022;;18.06.2022;;19.06.2022 - 25.06.2022;;26.06.2022;;27.06.2022 - 01.07.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2021 - 01.07.2022;;Info
;Редис;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;95,99;0,500;;;;;;;;;95,99;0,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;99,99;0,500;;;45,98;0,230;;;;;145,97;0,730;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;241,96;1,230;
;Редька;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;33,51;0,838;;;;;;;33,51;0,838;;49,19;0,984;;;;;;;;;;;;;;;49,19;0,984;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;82,70;1,822;
;Репа;24,20;0,484;;;19,47;0,488;;;;;;;;;;;;;;;19,47;0,488;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;23,67;0,592;;;;;;;;;;;;;;;23,67;0,592;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;43,14;1,080;
;Руккола;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;216,98;0,150;119,99;0,125;;;;;149,90;0,125;129,99;0,075;;;616,86;0,475;;79,90;0,125;;;;;;;;;119,90;0,125;;;;;199,80;0,250;;;;;;;;;;99,99;1;139,90;0,125;;;;;239,89;1,125;;129,99;0,075;;;99,90;0,075;89,90;0,125;249,98;0,200;;;;;;;569,77;0,475;;;;;;99,99;0,125;109,90;0,125;;;;;;;;;209,89;0,250;;;;;;;;;;;;109,90;0,125;;;;;109,90;0,125;;;;89,90;0,125;;;;;119,99;0,125;;;;;79,90;0,125;289,79;0,375;;89,90;0,125;;;;;;;;;;;74,40;0,125;;;164,30;0,250;;;;;;129,99;0,125;;;;;96,99;0,075;;;;;226,98;0,200;;;;;;;;89,90;0,125;;;;;;;;;89,90;0,125;;;;;;209,97;0,125;;;;;;;;;;;209,97;0,125;;;;;;;;;;;;;;;;179,90;0,125;179,90;0,125;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;119,99;0,125;;;;;;;;;;;119,99;0,125;;;;;;;;;;136,37;0,125;;;;;;;136,37;0,125;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;3 363,31;4,150;
;Салат «Айсберг»;;;;;;;;;149,99;1;;;149,99;1;;;;;;;299,98;2;;;;99,90;1;;;;;;;;;;;;;99,90;1;;79,90;1;;;;;99,90;1;;;;;119,99;1;;;299,79;3;;;;;;98,87;1;;;;;;;99,99;1;;;198,86;2;;99,99;1;;;;;;;;;;;169,99;1;;;269,98;2;;;;;;;;;;;;;;89,99;1;;;89,99;1;;;;;;;;109,90;1;;;;;;;;;109,90;1;;;;109,90;1;;;;;;;;;99,99;1;;;209,89;2;;;;;;;;;;109,99;1;;;;;109,90;1;219,89;2;;;;;;;;139,99;1;;;;;;;;;139,99;1;;79,99;1;;;;;;;87,75;1;;;139,99;1;;;307,73;3;;;;;;;;;;98,42;1;;;;;;;98,42;1;;;;;;;;;;79,99;1;;;;;;;79,99;1,000;;99,99;1;;;99,99;1;;;;;;;;;;;199,98;2,000;;99,99;1;;;59,90;1;;;;;;;;;;;159,89;2,000;;;;;;99,99;1;;;;;;;;;;;99,99;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;2 884,17;27,000;
;Салат листовой;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;63,90;1,000;;;;;;;;;;;;;63,90;1,000;;109,99;1;;;;;;;;;64,90;1;;;;;174,89;2;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;56,99;;;;;;;;;;;;69,90;1;126,89;1;;79,99;1;;;;;;;;;;;;;;;79,99;1;;;;49,78;1;;;;;;;;;;;;;49,78;1,000;;;;;;;;;;;;59,99;1;;;;;59,99;1,000;;;;;;;;;;;;;;;;69,90;1;69,90;1;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;89,99;1;;;;;;;;;89,99;1,000;;;;;;;;;;;;;;99,99;1;;;99,99;1,000;;;;;;;;79,90;1;;;;;;;;;79,90;1,000;;;;;;97,85;1;;;;;;;;;;;97,85;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;993,07;12,000;
;Салат (разные виды);;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;79,90;0,100;;;;;;;79,90;0,100;;;;;;;;;;;;;;;;159,90;0,130;159,90;0,130;;;;;;;;;;;;;;109,99;0,125;;;109,99;0,125;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;119,99;0,125;;;;;;;74,32;0,125;;;194,31;0,250;;;;;;;;184,98;2;;;;;;;;;184,98;2,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;79,99;0,400;;;;;;;;;;;;;;;79,99;0,400;;;;;;;;;;;;;;;;79,99;1;79,99;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;889,06;4,005;
;Свекла;;;;;;;;;;;;;;;;;13,49;1,174;;;13,49;1,174;;;;;;25,91;1,788;;;;;;;;;;;25,91;1,788;;36,05;1,472;;;;;;;;;;;;;;;36,05;1,472;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;62,75;0,698;;;;;;;;;;;34,71;0,655;97,46;1,353;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;8,85;0,354;;;;;;;;;;;24,92;1,072;;;33,77;1,426;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;44,42;1,578;;;;;27,94;0,650;;;;;72,36;2,228;;;;;;;;;;;;34,82;0,895;;;20,71;0,560;55,53;1,455;;;;;;;;31,12;0,800;;;;;;;;;31,12;0,800;;;;;;92,53;1,878;;;;;;;;;;;92,53;1,878;;;;;;;;;;;;;;60,34;1,128;;;60,34;1,128;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;518,56;14,702;
;Сельдерей;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;89,99;1;89,99;1;;;;;;;;;99,99;1;279,97;3;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;99,90;1;;;;;99,90;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;59,90;0,450;;;;;;;;;;;59,90;0,450;;;;;;;;;;;;;;;;;;0,00;0,000;;119,99;0,450;;;;;;;;;;;;;;;119,99;0,450;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;559,76;4,900;
;Томаты;45,60;0,228;57,12;0,478;;;40,17;0,268;92,77;0,546;;;125,09;0,966;44,84;0,284;87,78;0,694;66,47;0,350;457,12;3,108;;;;169,90;0,600;93,94;0,858;60,86;0,435;84,66;0,822;243,66;0,945;141,34;0,382;33,63;0,340;827,99;4,382;;149,81;0,950;;;108,31;0,666;174,65;0,780;;;;;103,35;0,608;106,95;0,535;643,07;3,539;;102,97;0,542;;;179,97;1,212;;;111,51;0,656;233,60;0,936;80,47;0,350;187,87;1,417;896,39;5,113;;121,97;0,678;247,78;0,806;92,15;0,768;;;118,70;0,990;60,77;0,320;;;;;641,37;3,562;;158,29;1,056;;;115,00;0,822;252,46;1,819;;;162,82;1,080;49,45;0,495;145,62;1,815;883,64;7,087;;;;154,39;1,620;;;160,19;1,145;;;287,21;2,282;94,81;0,862;373,67;3,084;1 070,27;8,993;;;;;;;;;;;;106,45;0,785;87,49;1,400;;;193,94;2,185;;;;145,38;1,470;123,45;0,774;;;153,51;0,808;168,84;1,625;;;;;591,18;4,677;;;;231,15;0,780;121,68;0,814;;;;;113,83;0,670;;;105,95;0,530;572,61;2,794;;204,42;1,044;84,55;0,470;93,46;0,670;58,70;0,470;;;78,26;0,435;90,47;0,830;159,90;0,200;769,76;4,119;;;;119,90;0,250;213,38;1,598;88,71;0,355;;;121,74;0,580;;;174,59;0,695;718,32;3,478;;93,11;0,582;;;126,75;0,906;;;72,25;0,482;;;100,74;0,560;196,36;0,675;589,21;3,205;;164,32;0,822;149,90;0,250;;;82,08;0,342;;;;;139,90;0,250;;;536,20;1,664;;;;139,99;0,350;;;;;;;;;129,77;0,580;;;269,76;0,930;;73,96;0,370;;;;;139,90;0,250;;;;;73,00;0,292;;;286,86;0,912;;95,55;0,478;;;90,81;0,464;145,75;0,540;163,23;0,742;;;;;84,55;0,470;579,89;2,694;;108,53;0,724;;;47,40;0,474;127,99;0,715;155,93;0,678;133,63;0,730;128,51;0,714;;;701,99;4,035;;11 229,57;66,477;
;Тыква;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;221,34;2,014;;;;;;;;;;;;;;;221,34;2,014;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;221,34;2,014;
;Укроп;;;;;;;29,99;0,030;69,99;0,100;;;;;55,89;0,060;;;59,98;0,060;215,85;0,250;;;;39,99;0,030;49,99;0,070;54,90;0,100;;;;;;;59,19;0,100;204,07;0,300;;;;;;;;;;14,91;0,030;24,90;0,030;;;79,98;0,060;119,79;0,120;;;;;;59,33;0,100;;;;;82,89;0,140;49,99;0,050;24,90;0,030;217,11;0,320;;;;;;;;39,99;0,030;69,99;0,100;;;;;22,90;0,030;132,88;0,160;;;;57,89;0,060;52,89;0,080;;;29,99;0,050;;;29,99;0,050;53,99;0,100;224,75;0,340;;;;31,49;0,030;;;57,80;0,060;;;;;39,89;0,050;24,90;0,040;154,08;0,180;;24,99;0,030;78,60;0,130;;;;;39,99;0,050;;;39,99;0,050;;;183,57;0,260;;39,99;0,050;29,90;0,030;;;;;35,69;0,050;;;37,20;0,050;;;142,78;0,180;;39,99;0,050;;;;;34,99;0,100;;;29,90;0,030;;;29,90;0,030;134,78;0,210;;;;;;39,99;0,050;;;61,40;0,100;;;;;;;101,39;0,150;;46,82;0,050;;;;;;;;;;;49,99;0,050;;;96,81;0,100;;;;;;49,99;0,050;;;;;41,99;0,030;;;49,90;0,030;141,88;0,110;;;;41,99;0,030;69,99;0,070;;;39,89;0,030;41,99;0,030;79,99;0,070;;;273,85;0,230;;59,99;0,050;;;59,99;0,050;179,80;0,230;;;;;59,99;0,050;;;359,77;0,380;;;;43,99;0,040;;;99,80;0,060;;;;;;;;;143,79;0,100;;59,99;0,050;;;39,04;0,050;;;;;;;;;;;99,03;0,100;;;;;;;;;;;;;;;;39,90;0,030;39,90;0,030;;2 986,08;3,520;
;Фенхель;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;124,00;0,310;;;124,00;0,310;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;124,00;0,310;
;Чеснок;12,88;0,056;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;12,43;0,084;;;;;12,43;0,084;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;21,16;0,092;;;;;;;16,56;0,072;;;37,72;0,164;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;20,24;0,088;;;;;;;;;;;20,24;0,088;;;;;;;;;;;;;;;;;;0,00;0,000;;21,56;0,098;;;;;;;;;;;;;;;21,56;0,098;;;;;;33,39;0,106;;;;;;;;;;;33,39;0,106;;;;;;;;27,60;0,060;;;;;;;;;27,60;0,060;;15,12;0,084;;;22,08;0,096;;;;;;;;;;;37,20;0,180;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;10,50;0,070;;;10,50;0,070;;;;;;;;;;;;;;;;;;0,00;0,000;;200,64;0,850;
;Шпинат;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;129,99;0,125;;;;;;;;;129,90;0,125;259,89;0,250;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;89,90;0,125;;;;;;;;;;;;;89,90;0,125;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;129,90;0,125;129,90;0,125;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;179,90;0,125;;;;;;;;;;;;;179,90;0,125;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;659,59;0,625;
;Абрикосы;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;146,84;0,565;;;129,94;0,6500;276,78;1,215;;;;;;;;;;140,73;0,704;118,72;0,792;186,59;1,244;109,99;0,500;556,03;3,240;;163,19;1,088;;;;;267,86;1,340;;;;;71,21;0,375;;;502,26;2,803;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;148,45;0,550;;;152,49;0,565;300,94;1,115;;;;;;;;189,75;0,954;;;128,72;0,805;;;81,55;0,510;400,02;2,269;;2 036,03;10,642;
;Апельсины;81,92;1,172;;;;;;;;;;;;;;;62,85;0,828;;;62,85;0,828;;;;;;;;53,89;0,770;;;;;68,29;1,140;;;122,18;1,910;;;;;;;;74,27;1,261;;;;;;;;;74,27;1,261;;;;;;38,26;0,646;;;;;;;;;;;38,26;0,646;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;26,07;0,290;;;;;26,07;0,290;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;36,72;0,432;36,72;0,432;;;;;;;;;;;;95,76;1,370;64,31;0,920;73,79;0,984;233,86;3,274;;;;74,09;0,988;;;;;81,79;0,818;;;;;;;155,88;1,806;;;;126,87;1,270;;;93,91;0,940;;;;;;;49,45;0,550;270,23;2,760;;81,59;0,816;85,79;0,715;;;;;;;;;;;;;167,38;1,531;;92,83;0,844;98,70;0,988;;;;;;;;;;;;;191,53;1,832;;;;129,67;1,634;;;;;;;54,05;0,685;;;;;183,72;2,319;;1 562,95;18,889;
;Арбуз;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;99,75;4,990;;;;;86,34;5,760;;;186,09;10,750;;151,26;8,455;;;;;;;;;121,26;7,175;;;112,05;7,520;384,57;23,150;;88,86;2,972;;;;;;;;;;;81,58;4,900;;;170,44;7,872;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;741,10;41,772;
;Бананы;;;;;;;;;;;61,64;0,812;;;75,75;0,985;;;;;137,39;1,797;;;;65,59;1,070;;;81,79;1,100;33,48;0,520;;;;;44,10;0,620;224,96;3,310;;;;63,79;0,875;;;;;88,71;1,116;;;;;74,80;1,065;227,30;3,056;;;;45,56;0,625;25,63;0,360;86,49;1,185;;;41,92;0,575;;;47,81;0,655;247,41;3,400;;27,14;0,498;;;52,49;0,814;33,90;0,465;57,26;0,824;;;29,60;0,426;29,10;0,485;229,49;3,512;;35,76;0,480;;;38,73;0,520;44,07;0,735;24,12;0,386;;;39,26;0,660;;;181,94;2,781;;;;48,12;0,785;27,15;0,448;29,53;0,510;36,56;0,636;33,00;0,570;40,00;0,626;76,21;1,420;290,57;4,995;;;;;;55,97;1,064;21,72;0,395;;;59,13;1,034;19,04;0,320;18,42;0,335;174,28;3,148;;24,88;0,358;61,96;0,985;53,92;0,776;37,74;0,600;23,29;0,414;45,11;0,695;42,90;0,738;;;289,80;4,566;;40,45;0,680;39,94;0,625;36,41;0,612;18,88;0,295;46,74;0,748;83,58;1,300;22,01;0,344;39,26;0,605;327,27;5,209;;;;49,97;0,770;;;;;23,81;0,456;90,89;1,421;;;25,16;0,420;189,83;3,067;;;;26,06;0,435;;;140,38;2,198;35,23;0,722;51,09;0,730;;;45,38;0,640;298,14;4,725;;;;37,90;0,550;100,14;1,484;42,91;0,596;34,84;0,524;46,48;0,665;76,89;1,100;89,01;1,220;428,17;6,139;;75,24;1,038;58,07;0,765;;;136,75;1,936;31,58;0,424;198,67;2,283;;;190,74;2,473;691,05;8,919;;;;116,50;1,145;64,91;0,562;41,46;0,415;;;172,71;2,115;;;115,93;1,232;511,51;5,469;;45,64;0,478;123,55;1,405;54,69;0,848;62,40;0,735;;;162,45;1,870;;;107,12;1,205;555,85;6,541;;34,54;0,386;39,85;0,815;71,52;0,826;61,21;0,645;;;40,01;0,450;94,87;1,004;54,09;0,570;396,09;4,696;;36,07;0,370;100,50;0,996;32,20;0,352;103,37;1,140;;;54,14;0,695;;;103,59;1,202;429,87;4,755;;5 830,92;80,085;
